emotion_key,emotion_text,positive,color,importance,id,tone,sentiment
active,need for action/active,True,red,2,0,warm,Positive
attention-getting,attention-getting,True,red,1,1,warm,Neutral
assertive,assertive,True,red,1,2,warm,Positive
energising_and_stimulating,energising and stimulating,True,red,2,3,warm,Positive
energising_and_stimulating,energising and stimulating,True,orange,1,3,warm,Positive
energising_and_stimulating,energising and stimulating,True,magenta,0,3,warm,Positive
exciting,exciting,True,red,1,4,warm,Positive
powerful,powerful,True,red,0,5,warm,Positive
powerful,powerful,True,black,1,5,neutral,Positive
powerful,powerful,True,indigo,0,5,cool,Positive
powerful,powerful,True,purple,0,5,cool,Positive
powerful,powerful,True,magenta,0,5,warm,Positive
passionate,passionate,True,red,2,6,warm,Positive
passionate,passionate,True,gold,0,6,warm,Positive
passionate,passionate,True,pink,0,6,warm,Positive
passionate,passionate,True,magenta,0,6,warm,Positive
courageous,courageous,True,red,0,7,warm,Positive
courageous,courageous,True,orange,1,7,warm,Positive
strong,strong,True,red,0,8,warm,Positive
strong,strong,True,brown,0,8,neutral,Positive
strong,strong,True,black,0,8,neutral,Positive
strong,strong,True,purple,0,8,cool,Positive
spontaneous,spontaneous,True,red,0,9,warm,Positive
spontaneous,spontaneous,True,magenta,0,9,warm,Positive
determined,determined,True,red,0,10,warm,Positive
determined,determined,True,blue,0,10,cool,Positive
determined,determined,True,silver,0,10,cool,Positive
aggressive,aggressive,False,red,1,11,warm,Negative
domineering,domineering,False,red,0,12,warm,Negative
domineering,domineering,False,magenta,0,12,warm,Negative
over-bearing,over-bearing,False,red,0,13,warm,Negative
over-bearing,over-bearing,False,orange,0,13,warm,Negative
tiring,tiring,False,red,0,14,warm,Negative
angry_and_quick-tempered,angry and quick-tempered,False,red,0,15,warm,Negative
ruthless,ruthless,False,red,0,16,warm,Negative
fearful,fearful,False,red,0,17,warm,Negative
fearful,fearful,False,indigo,0,17,cool,Negative
fearful,fearful,False,black,0,17,neutral,Negative
intolerant,intolerant,False,red,0,18,warm,Negative
intolerant,intolerant,False,indigo,0,18,cool,Negative
intolerant,intolerant,False,magenta,0,18,warm,Negative
rebellious_and_obstinate,rebellious and obstinate,False,red,0,19,warm,Negative
resentful,resentful,False,red,0,20,warm,Negative
violent_and_brutal,violent and brutal,False,red,0,21,warm,Negative
sexual_and_lust,sexual and lust,True,red,0,22,warm,Neutral
sociable,sociable,True,orange,2,23,warm,Positive
optimistic,optimistic,True,orange,0,24,warm,Positive
optimistic,optimistic,True,yellow,0,24,warm,Positive
optimistic,optimistic,True,gold,0,24,warm,Positive
optimistic,optimistic,True,green,0,24,cool,Positive
optimistic,optimistic,True,magenta,0,24,warm,Positive
optimistic,optimistic,True,silver,0,24,cool,Positive
