emotion,color,correlation,tone,sentiment,hex
active,red,2,warm,Positive,#FF0000
attention-getting,red,1,warm,Neutral,#FF0000
assertive,red,1,warm,Positive,#FF0000
energising_and_stimulating,red,2,warm,Positive,#FF0000
energising_and_stimulating,orange,1,warm,Positive,#FFA500
energising_and_stimulating,magenta,0,warm,Positive,#FF00FF
exciting,red,1,warm,Positive,#FF0000
powerful,red,0,warm,Positive,#FF0000
powerful,black,1,neutral,Positive,#000000
powerful,indigo,0,cool,Positive,#4B0082
powerful,purple,0,cool,Positive,#800080
powerful,magenta,0,warm,Positive,#FF00FF
passionate,red,2,warm,Positive,#FF0000
passionate,gold,0,warm,Positive,#FFD700
passionate,pink,0,warm,Positive,#FFC0CB
passionate,magenta,0,warm,Positive,#FF00FF
courageous,red,0,warm,Positive,#FF0000
courageous,orange,1,warm,Positive,#FFA500
strong,red,0,warm,Positive,#FF0000
strong,brown,0,neutral,Positive,#A52A2A
strong,black,0,neutral,Positive,#000000
strong,purple,0,cool,Positive,#800080
spontaneous,red,0,warm,Positive,#FF0000
spontaneous,magenta,0,warm,Positive,#FF00FF
determined,red,0,warm,Positive,#FF0000
determined,blue,0,cool,Positive,#0000FF
determined,silver,0,cool,Positive,#C0C0C0
aggressive,red,1,warm,Negative,#FF0000
domineering,red,0,warm,Negative,#FF0000
domineering,magenta,0,warm,Negative,#FF00FF
over-bearing,red,0,warm,Negative,#FF0000
over-bearing,orange,0,warm,Negative,#FFA500
tiring,red,0,warm,Negative,#FF0000
angry_and_quick-tempered,red,0,warm,Negative,#FF0000
ruthless,red,0,warm,Negative,#FF0000
fearful,red,0,warm,Negative,#FF0000
fearful,indigo,0,cool,Negative,#4B0082
fearful,black,0,neutral,Negative,#000000
intolerant,red,0,warm,Negative,#FF0000
intolerant,indigo,0,cool,Negative,#4B0082
intolerant,magenta,0,warm,Negative,#FF00FF
rebellious_and_obstinate,red,0,warm,Negative,#FF0000
resentful,red,0,warm,Negative,#FF0000
violent_and_brutal,red,0,warm,Negative,#FF0000
sexual_and_lust,red,0,warm,Neutral,#FF0000
sociable,orange,2,warm,Positive,#FFA500
optimistic,orange,0,warm,Positive,#FFA500
optimistic,yellow,0,warm,Positive,#FFFF00
optimistic,gold,0,warm,Positive,#FFD700
optimistic,green,0,cool,Positive,#008000
optimistic,magenta,0,warm,Positive,#FF00FF
optimistic,silver,0,cool,Positive,#C0C0C0
enthusiastic,orange,1,warm,Positive,#FFA500
enthusiastic,yellow,0,warm,Positive,#FFFF00
cheerful,orange,0,warm,Positive,#FFA500
cheerful,yellow,0,warm,Positive,#FFFF00
cheerful,magenta,0,warm,Positive,#FF00FF
confident,red,0,warm,Positive,#FF0000
confident,orange,0,warm,Positive,#FFA500
confident,yellow,0,warm,Positive,#FFFF00
confident,green,0,cool,Positive,#008000
confident,blue,0,cool,Positive,#0000FF
confident,turquoise,0,cool,Positive,#40E0D0
confident,brown,0,neutral,Positive,#A52A2A
confident,gold,0,warm,Positive,#FFD700
confident,black,0,neutral,Positive,#000000
independent,orange,0,warm,Positive,#FFA500
independent,purple,0,cool,Positive,#800080
independent,white,0,neutral,Positive,#FFFFFF
independent,black,0,neutral,Positive,#000000
flamboyant,orange,0,warm,Positive,#FFA500
extroverted_and_uninhibited,orange,0,warm,Positive,#FFA500
adventurous,orange,2,warm,Positive,#FFA500
risk-taking,orange,1,warm,Neutral,#FFA500
creative,orange,0,warm,Positive,#FFA500
creative,yellow,1,warm,Positive,#FFFF00
creative,purple,0,cool,Positive,#800080
creative,turquoise,0,cool,Positive,#40E0D0
creative,magenta,0,warm,Positive,#FF00FF
